"id	gen	sp	en	rec	cnt	lat	lng	type	lic"
"180476	Acrocephalus	dumetorum	Blyth's Reed Warbler	Andrew Clarke	United Kingdom	53.4094	-4.5183	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"90333	Acrocephalus	dumetorum	Blyth's Reed Warbler	Marcin Soowiej	Poland	52.87	23.721	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"182140	Acrocephalus	dumetorum	Blyth's Reed Warbler	Uku Paal	Estonia	58.3316	27.1393	male, song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"37165	Acrocephalus	palustris	Marsh Warbler	Dougie Preston	United Kingdom	60.35413	-1.268921	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"103214	Acrocephalus	palustris	Marsh Warbler	Richard Dunn	United Kingdom	55.306	-1.56	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"82715	Acrocephalus	palustris	Marsh Warbler	Dougie Preston	United Kingdom	60.3539	-1.2689	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"113692	Acrocephalus	palustris	Marsh Warbler	Graham Catley	United Kingdom	53.5458	-0.011	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"82717	Acrocephalus	palustris	Marsh Warbler	Dougie Preston	United Kingdom	60.3539	-1.2689	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"181158	Acrocephalus	palustris	Marsh Warbler	Dougie Preston	United Kingdom	60.3541	-1.2689	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"82716	Acrocephalus	palustris	Marsh Warbler	Dougie Preston	United Kingdom	60.3539	-1.2689	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"103212	Acrocephalus	palustris	Marsh Warbler	Richard Dunn	United Kingdom	55.306	-1.56	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"64685	Acrocephalus	palustris	Marsh Warbler	Dougie Preston	United Kingdom	60.3539	-1.2689	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"64686	Acrocephalus	palustris	Marsh Warbler	Dougie Preston	United Kingdom	60.3539	-1.2689	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"64687	Acrocephalus	palustris	Marsh Warbler	Dougie Preston	United Kingdom	60.3539	-1.2689	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"64689	Acrocephalus	palustris	Marsh Warbler	Dougie Preston	United Kingdom	60.3539	-1.2689	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"64690	Acrocephalus	palustris	Marsh Warbler	Dougie Preston	United Kingdom	60.3539	-1.2689	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"84152	Acrocephalus	palustris	Marsh Warbler	Alexander Lees	United Kingdom	60.133	-2.051	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"84153	Acrocephalus	palustris	Marsh Warbler	Alexander Lees	United Kingdom	52.6264	1.2954	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"102982	Acrocephalus	palustris	Marsh Warbler	Stuart Fisher	United Kingdom	51.4878	0.2192	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"179150	Acrocephalus	palustris	Marsh Warbler	Graham Catley	United Kingdom	53.1785	-0.1362	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"179151	Acrocephalus	palustris	Marsh Warbler	Graham Catley	United Kingdom	53.1785	-0.1362	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"179152	Acrocephalus	palustris	Marsh Warbler	Graham Catley	United Kingdom	53.1723	-0.1373	call	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"180067	Acrocephalus	palustris	Marsh Warbler	Tim Jones	United Kingdom	53.5908	0.1362	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"176867	Acrocephalus	palustris	Marsh Warbler	Hugh Harrop / Shetland Wildlife	United Kingdom	60.3493	-1.2674	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"103213	Acrocephalus	palustris	Marsh Warbler	Richard Dunn	United Kingdom	55.306	-1.56	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"24896	Acrocephalus	schoenobaenus	Sedge Warbler	Stuart Fisher	United Kingdom	57.2539	-5.8331	call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"36482	Acrocephalus	schoenobaenus	Sedge Warbler	Stuart Fisher	United Kingdom	51.5056	0.1898	call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"102276	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.2809	-1.5801	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"132357	Acrocephalus	schoenobaenus	Sedge Warbler	Bram Piot	United Kingdom	52.2974	-2.0984	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"24972	Acrocephalus	schoenobaenus	Sedge Warbler	Stuart Fisher	United Kingdom	51.2887	-0.5267	Song & (partial mimicry?)	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"24973	Acrocephalus	schoenobaenus	Sedge Warbler	Stuart Fisher	United Kingdom	51.2887	-0.5267	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"189838	Acrocephalus	schoenobaenus	Sedge Warbler	Dawid Jablonski	United Kingdom	51.6452	-1.9146	begging call, juvenile	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"189839	Acrocephalus	schoenobaenus	Sedge Warbler	Dawid Jablonski	United Kingdom	51.6452	-1.9146	call, female	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"102934	Acrocephalus	schoenobaenus	Sedge Warbler	Stuart Fisher	United Kingdom	51.7101	-0.0109	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"102935	Acrocephalus	schoenobaenus	Sedge Warbler	Stuart Fisher	United Kingdom	51.7101	-0.0109	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"125848	Acrocephalus	schoenobaenus	Sedge Warbler	david m	United Kingdom	56.5858	-6.1855	male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"183428	Acrocephalus	schoenobaenus	Sedge Warbler	Marc Anderson	United Kingdom	51.7719	0.829	song	http://creativecommons.org/licenses/by-nc-nd/4.0/"
"125855	Acrocephalus	schoenobaenus	Sedge Warbler	david m	United Kingdom	56.5858	-6.1855	male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"125857	Acrocephalus	schoenobaenus	Sedge Warbler	david m	United Kingdom	56.5859	-6.1855	male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"125858	Acrocephalus	schoenobaenus	Sedge Warbler	david m	United Kingdom	56.5859	-6.1855	male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"181156	Acrocephalus	schoenobaenus	Sedge Warbler	Dougie Preston	United Kingdom	60.3541	-1.2689	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"133930	Acrocephalus	schoenobaenus	Sedge Warbler	Mike Nelson	United Kingdom	55.9835	-3.5931	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"133931	Acrocephalus	schoenobaenus	Sedge Warbler	Mike Nelson	United Kingdom	55.9835	-3.5931	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"133932	Acrocephalus	schoenobaenus	Sedge Warbler	Mike Nelson	United Kingdom	55.9835	-3.5931	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"133933	Acrocephalus	schoenobaenus	Sedge Warbler	Mike Nelson	United Kingdom	55.9835	-3.5931	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"133934	Acrocephalus	schoenobaenus	Sedge Warbler	Mike Nelson	United Kingdom	55.9835	-3.5931	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"133935	Acrocephalus	schoenobaenus	Sedge Warbler	Mike Nelson	United Kingdom	55.9835	-3.5931	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"133936	Acrocephalus	schoenobaenus	Sedge Warbler	Mike Nelson	United Kingdom	55.9835	-3.5931	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"133937	Acrocephalus	schoenobaenus	Sedge Warbler	Mike Nelson	United Kingdom	55.9835	-3.5931	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"100830	Acrocephalus	schoenobaenus	Sedge Warbler	Tony Whitehead	United Kingdom	50.676	-3.469	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"108276	Acrocephalus	schoenobaenus	Sedge Warbler	Stuart Fisher	United Kingdom	55.322	-5.588	alarm call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"101947	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.098	-1.8978	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"71741	Acrocephalus	schoenobaenus	Sedge Warbler	Mark Doveston	United Kingdom			song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"180928	Acrocephalus	schoenobaenus	Sedge Warbler	Dawid Jablonski	United Kingdom	51.8121	-1.1891	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"24897	Acrocephalus	schoenobaenus	Sedge Warbler	Stuart Fisher	United Kingdom	57.2539	-5.8331	call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"56909	Acrocephalus	schoenobaenus	Sedge Warbler	Stuart Fisher	United Kingdom	52.781	0.353	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"56911	Acrocephalus	schoenobaenus	Sedge Warbler	Stuart Fisher	United Kingdom	52.781	0.353	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"56912	Acrocephalus	schoenobaenus	Sedge Warbler	Stuart Fisher	United Kingdom	52.781	0.353	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"120663	Acrocephalus	schoenobaenus	Sedge Warbler	david m	United Kingdom	56.586	-6.1855	male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"120664	Acrocephalus	schoenobaenus	Sedge Warbler	david m	United Kingdom	56.586	-6.1855	male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"120665	Acrocephalus	schoenobaenus	Sedge Warbler	david m	United Kingdom	56.586	-6.1855	male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"120666	Acrocephalus	schoenobaenus	Sedge Warbler	david m	United Kingdom	56.586	-6.1855	male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"183134	Acrocephalus	schoenobaenus	Sedge Warbler	David Darrell-Lambert	United Kingdom	51.4913	0.2312	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"76767	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.2809	-1.5801	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"76768	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.2809	-1.5801	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"76769	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.07	-1.606	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"76770	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.07	-1.606	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"76771	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.07	-1.606	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"76772	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.07	-1.606	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"76773	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.07	-1.606	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"76775	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.07	-1.606	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"76776	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.07	-1.606	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"76777	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.07	-1.606	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"76778	Acrocephalus	schoenobaenus	Sedge Warbler	Richard Dunn	United Kingdom	55.07	-1.606	song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"108274	Acrocephalus	schoenobaenus	Sedge Warbler	Stuart Fisher	United Kingdom	55.322	-5.588	alarm call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"145652	Acrocephalus	schoenobaenus	Sedge Warbler	Patrik berg	United Kingdom	51.4675	0.4968	alarm call	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"178218	Acrocephalus	schoenobaenus	Sedge Warbler	Craig Brookes	United Kingdom	53.0205	-0.9496	male, song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"36480	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Stuart Fisher	United Kingdom	51.5056	0.1898	call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"100612	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Tony Whitehead	United Kingdom	50.676	-3.469	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"183429	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Marc Anderson	United Kingdom	51.7719	0.829	song	http://creativecommons.org/licenses/by-nc-nd/4.0/"
"24971	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Stuart Fisher	United Kingdom	51.2887	-0.5267	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"124047	Acrocephalus	scirpaceus	Eurasian Reed Warbler	david m	United Kingdom	51.8985	-0.5372	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"124048	Acrocephalus	scirpaceus	Eurasian Reed Warbler	david m	United Kingdom	51.8985	-0.5372	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"124049	Acrocephalus	scirpaceus	Eurasian Reed Warbler	david m	United Kingdom	51.8985	-0.5372	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"124050	Acrocephalus	scirpaceus	Eurasian Reed Warbler	david m	United Kingdom	51.8985	-0.5372	call, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"124051	Acrocephalus	scirpaceus	Eurasian Reed Warbler	david m	United Kingdom	51.8985	-0.5372	call, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"124052	Acrocephalus	scirpaceus	Eurasian Reed Warbler	david m	United Kingdom	51.8985	-0.5372	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"124053	Acrocephalus	scirpaceus	Eurasian Reed Warbler	david m	United Kingdom	51.8985	-0.5372	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"124054	Acrocephalus	scirpaceus	Eurasian Reed Warbler	david m	United Kingdom	51.8985	-0.5372	call, female, male, song	http://creativecommons.org/licenses/by-nc-nd/3.0/"
"132356	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Bram Piot	United Kingdom	52.2974	-2.0984	song	http://creativecommons.org/licenses/by-nc-sa/3.0/"
"179622	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Dawid Jablonski	United Kingdom	51.581	-0.7384	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"71735	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Mark Doveston	United Kingdom			Song	http://creativecommons.org/licenses/by-nc-nd/2.5/"
"180939	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Dawid Jablonski	United Kingdom	51.8118	-1.1961	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"180941	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Dawid Jablonski	United Kingdom	51.8118	-1.1961	song	http://creativecommons.org/licenses/by-nc-sa/4.0/"
"43600	Acrocephalus	scirpaceus	Eurasian Reed Warbler	Stuart Fisher	United Kingdom	51.2887	-0.5267	call	http://creativecommons.org/licenses/by-nc-nd/2.5/"
